age,type,origin,rarity
32,4,2,0.972722
33,4,3,0.972819
33,2,5,0.972819
33,4,2,0.972819
33,3,0,0.972819
33,4,0,0.972819
34,0,1,0.972916
34,4,0,0.972916
34,1,1,0.972916
35,1,6,0.973013
35,1,3,0.973013
35,0,3,0.973013
35,2,2,0.973013
36,4,6,0.97311
36,3,3,0.97311
37,2,5,0.973207
37,1,6,0.973207
37,1,0,0.973207
38,3,3,0.973304
38,2,0,0.973304
38,0,5,0.973304
38,2,3,0.973304
38,3,5,0.973304
38,4,0,0.973304
38,2,5,0.973304
39,0,1,0.973401
39,1,2,0.973401
39,1,0,0.973401
39,0,4,0.973401
40,0,6,0.973498
40,3,1,0.973498
40,3,4,0.973498
40,1,5,0.973498
40,2,3,0.973498
41,4,2,0.973595
41,0,3,0.973595
41,0,4,0.973595
41,4,4,0.973595
41,4,0,0.973595
42,1,1,0.973692
42,4,4,0.973692
42,3,1,0.973692
42,3,4,0.973692
42,1,5,0.973692
42,0,1,0.973692
42,3,3,0.973692
42,1,3,0.973692
43,0,0,0.973789
43,0,3,0.973789
43,2,2,0.973789
43,4,0,0.973789
44,1,6,0.973886
44,2,5,0.973886
44,0,0,0.973886
44,4,0,0.973886
45,1,6,0.973983
45,3,2,0.973983
46,1,5,0.97408
46,2,5,0.97408
46,2,1,0.97408
46,0,0,0.97408
47,1,6,0.974176
47,2,0,0.974176
47,3,5,0.974176
47,4,6,0.974176
48,1,1,0.974273
48,2,2,0.974273
48,2,5,0.974273
48,3,1,0.974273
48,3,2,0.974273
49,1,2,0.97437
49,0,6,0.97437
49,1,6,0.97437
49,3,6,0.97437
49,0,0,0.97437
49,3,4,0.97437
49,3,2,0.97437
50,2,1,0.974467
50,1,3,0.974467
50,3,5,0.974467
50,1,0,0.974467
50,2,4,0.974467
51,0,2,0.974564
51,3,6,0.974564
51,1,0,0.974564
51,1,2,0.974564
52,2,3,0.974661
52,1,2,0.974661
53,0,0,0.974758
53,2,6,0.974758
53,0,6,0.974758
54,0,1,0.974855
54,4,5,0.974855
54,3,6,0.974855
54,2,5,0.974855
54,1,5,0.974855
55,2,3,0.974952
55,0,1,0.974952
55,2,6,0.974952
55,0,3,0.974952
56,4,6,0.975049
56,4,5,0.975049
56,1,3,0.975049
56,3,4,0.975049
56,1,6,0.975049
57,1,0,0.975146
57,4,1,0.975146
57,2,2,0.975146
57,4,5,0.975146
58,4,3,0.975243
58,3,1,0.975243
58,4,2,0.975243
58,4,6,0.975243
58,1,5,0.975243
58,3,6,0.975243
58,3,5,0.975243
58,2,2,0.975243
59,2,5,0.97534
59,1,0,0.97534
59,0,2,0.97534
59,4,2,0.97534
60,4,0,0.975437
60,2,0,0.975437
61,1,1,0.975534
61,2,3,0.975534
61,3,3,0.975534
61,0,1,0.975534
62,0,4,0.975631
62,2,4,0.975631
62,4,2,0.975631
62,4,1,0.975631
62,3,3,0.975631
62,0,3,0.975631
62,1,2,0.975631
62,4,3,0.975631
62,0,5,0.975631
63,1,3,0.975728
63,4,6,0.975728
63,2,5,0.975728
63,3,2,0.975728
64,2,2,0.975825
64,4,3,0.975825
64,3,1,0.975825
65,3,2,0.975922
65,1,5,0.975922
65,2,4,0.975922
65,2,3,0.975922
65,0,0,0.975922
65,1,0,0.975922
65,0,6,0.975922
65,1,4,0.975922
65,3,4,0.975922
65,4,0,0.975922
66,4,0,0.976019
66,2,3,0.976019
66,3,3,0.976019
67,4,3,0.976116
67,1,0,0.976116
67,4,1,0.976116
67,1,5,0.976116
67,2,3,0.976116
67,3,3,0.976116
68,2,2,0.976213
68,1,5,0.976213
68,2,0,0.976213
69,4,2,0.97631
69,4,4,0.97631
69,2,6,0.97631
69,3,0,0.97631
70,3,6,0.976407
70,4,6,0.976407
71,0,5,0.976504
71,3,3,0.976504
71,1,6,0.976504
71,2,5,0.976504
71,0,2,0.976504
71,4,0,0.976504
71,0,1,0.976504
72,0,0,0.976601
72,4,2,0.976601
73,1,1,0.976697
73,4,1,0.976697
73,4,5,0.976697
73,0,2,0.976697
74,1,0,0.976794
74,2,3,0.976794
75,2,5,0.976891
75,3,0,0.976891
75,0,1,0.976891
76,2,0,0.976988
76,4,4,0.976988
76,0,0,0.976988
76,2,5,0.976988
76,2,6,0.976988
76,3,6,0.976988
76,3,0,0.976988
76,2,1,0.976988
77,1,2,0.977085
77,4,5,0.977085
77,3,2,0.977085
77,3,1,0.977085
77,3,6,0.977085
77,2,5,0.977085
77,3,0,0.977085
77,2,2,0.977085
78,1,3,0.977182
78,2,3,0.977182
78,1,0,0.977182
78,0,1,0.977182
78,1,6,0.977182
79,3,0,0.977279
79,2,5,0.977279
79,0,5,0.977279
79,1,6,0.977279
79,2,0,0.977279
80,0,1,0.977376
80,0,5,0.977376
80,1,5,0.977376
80,4,6,0.977376
80,2,5,0.977376
80,2,2,0.977376
81,0,2,0.977473
81,3,1,0.977473
81,4,6,0.977473
81,3,4,0.977473
81,1,0,0.977473
81,1,2,0.977473
82,0,1,0.97757
82,0,6,0.97757
82,4,3,0.97757
82,3,3,0.97757
82,1,0,0.97757
83,1,6,0.977667
83,2,6,0.977667
83,4,3,0.977667
84,1,0,0.977764
84,2,2,0.977764
84,1,2,0.977764
84,2,3,0.977764
84,1,5,0.977764
84,3,4,0.977764
85,3,6,0.977861
85,2,2,0.977861
85,4,6,0.977861
85,2,3,0.977861
86,4,6,0.977958
86,1,1,0.977958
86,1,3,0.977958
87,3,3,0.978055
87,1,2,0.978055
87,2,3,0.978055
87,0,6,0.978055
87,4,6,0.978055
88,2,0,0.978152
88,4,1,0.978152
88,0,4,0.978152
88,2,3,0.978152
88,3,5,0.978152
89,2,3,0.978249
89,4,3,0.978249
89,1,5,0.978249
89,1,3,0.978249
89,0,0,0.978249
90,4,3,0.978346
90,0,6,0.978346
90,0,5,0.978346
90,4,6,0.978346
90,3,0,0.978346
90,1,2,0.978346
90,0,1,0.978346
90,0,4,0.978346
90,2,2,0.978346
91,1,6,0.978443
91,0,2,0.978443
91,3,3,0.978443
91,2,5,0.978443
92,4,6,0.97854
92,3,4,0.97854
92,0,4,0.97854
93,1,5,0.978637
93,4,5,0.978637
93,3,4,0.978637
93,3,6,0.978637
93,0,0,0.978637
93,4,2,0.978637
94,3,6,0.978734
94,0,2,0.978734
94,2,1,0.978734
94,4,6,0.978734
95,1,5,0.978831
95,4,4,0.978831
95,3,6,0.978831
95,0,1,0.978831
95,1,6,0.978831
95,0,2,0.978831
95,3,2,0.978831
95,0,3,0.978831
96,4,2,0.978928
96,1,6,0.978928
97,1,1,0.979025
97,3,3,0.979025
97,0,4,0.979025
97,4,2,0.979025
98,3,2,0.979122
98,1,0,0.979122
98,0,3,0.979122
98,2,3,0.979122
99,1,0,0.979218
99,1,3,0.979218
99,3,0,0.979218
99,2,1,0.979218
99,0,6,0.979218
100,4,0,0.979315
100,4,3,0.979315
100,1,6,0.979315
100,2,5,0.979315
100,4,2,0.979315
100,4,6,0.979315
100,4,1,0.979315
101,3,0,0.979412
101,1,5,0.979412
101,0,6,0.979412
101,4,0,0.979412
101,1,2,0.979412
102,3,5,0.979509
102,3,0,0.979509
102,1,5,0.979509
102,2,2,0.979509
103,4,3,0.979606
103,3,3,0.979606
103,0,4,0.979606
103,0,0,0.979606
103,4,2,0.979606
103,4,4,0.979606
104,4,4,0.979703
104,0,0,0.979703
104,1,1,0.979703
104,2,3,0.979703
105,4,5,0.9798
105,0,4,0.9798
105,3,2,0.9798
105,1,3,0.9798
106,3,1,0.979897
106,3,4,0.979897
106,2,2,0.979897
106,0,5,0.979897
106,3,6,0.979897
106,4,1,0.979897
106,0,3,0.979897
106,1,2,0.979897
107,4,4,0.979994
107,3,3,0.979994
107,4,5,0.979994
107,3,4,0.979994
108,3,4,0.980091
108,1,1,0.980091
108,3,0,0.980091
108,0,4,0.980091
108,0,3,0.980091
109,4,0,0.980188
109,2,3,0.980188
109,3,2,0.980188
109,2,6,0.980188
110,3,0,0.980285
110,0,2,0.980285
110,3,2,0.980285
111,3,6,0.980382
111,0,2,0.980382
112,0,3,0.980479
112,4,0,0.980479
112,0,6,0.980479
112,2,0,0.980479
112,0,1,0.980479
113,0,2,0.980576
113,3,3,0.980576
113,2,3,0.980576
113,2,5,0.980576
113,0,3,0.980576
113,2,2,0.980576
113,1,1,0.980576
113,0,5,0.980576
114,1,6,0.980673
114,4,0,0.980673
114,3,6,0.980673
114,1,5,0.980673
114,0,6,0.980673
115,2,1,0.98077
115,2,0,0.98077
115,4,0,0.98077
115,3,5,0.98077
116,2,3,0.980867
116,2,6,0.980867
116,1,4,0.980867
116,3,5,0.980867
117,1,5,0.980964
117,0,0,0.980964
117,1,4,0.980964
117,4,5,0.980964
118,3,3,0.981061
118,0,1,0.981061
118,0,0,0.981061
118,1,2,0.981061
118,3,1,0.981061
119,3,1,0.981158
119,3,4,0.981158
119,3,6,0.981158
120,1,0,0.981255
120,4,5,0.981255
120,3,0,0.981255
121,1,6,0.981352
121,1,5,0.981352
121,1,0,0.981352
122,1,5,0.981449
122,2,1,0.981449
122,1,2,0.981449
122,0,2,0.981449
123,1,4,0.981546
123,3,6,0.981546
123,2,2,0.981546
123,2,0,0.981546
123,1,0,0.981546
123,4,0,0.981546
123,1,6,0.981546
123,4,5,0.981546
124,0,1,0.981643
124,1,3,0.981643
124,3,6,0.981643
124,4,2,0.981643
126,1,4,0.981836
126,4,5,0.981836
127,3,2,0.981933
127,3,4,0.981933
127,4,5,0.981933
127,4,1,0.981933
127,3,6,0.981933
128,2,6,0.98203
128,3,6,0.98203
128,4,2,0.98203
128,4,0,0.98203
128,0,6,0.98203
129,1,2,0.982127
130,4,0,0.982224
130,1,3,0.982224
130,2,1,0.982224
130,0,0,0.982224
130,4,2,0.982224
131,2,1,0.982321
131,0,5,0.982321
132,1,2,0.982418
132,1,6,0.982418
132,0,1,0.982418
132,1,1,0.982418
133,0,1,0.982515
133,2,2,0.982515
133,1,5,0.982515
133,1,0,0.982515
134,2,5,0.982612
134,3,1,0.982612
134,3,3,0.982612
134,0,4,0.982612
134,4,1,0.982612
134,0,1,0.982612
135,3,0,0.982709
135,1,5,0.982709
135,1,3,0.982709
135,3,5,0.982709
135,1,4,0.982709
136,2,3,0.982806
136,4,1,0.982806
136,3,6,0.982806
136,3,0,0.982806
137,1,3,0.982903
137,3,1,0.982903
137,1,5,0.982903
137,4,6,0.982903
138,2,3,0.983
138,1,5,0.983
138,0,2,0.983
138,2,0,0.983
138,0,4,0.983
139,1,6,0.983097
139,0,1,0.983097
139,2,6,0.983097
139,0,4,0.983097
139,4,4,0.983097
139,3,3,0.983097
139,0,5,0.983097
139,2,0,0.983097
139,4,5,0.983097
140,4,5,0.983194
140,1,4,0.983194
140,3,1,0.983194
140,1,3,0.983194
140,4,3,0.983194
140,3,0,0.983194
141,2,5,0.983291
141,3,5,0.983291
141,4,5,0.983291
142,2,2,0.983388
142,3,1,0.983388
142,2,5,0.983388
142,3,3,0.983388
143,0,5,0.983485
143,4,0,0.983485
143,1,1,0.983485
144,4,1,0.983582
144,2,1,0.983582
144,3,2,0.983582
144,2,3,0.983582
144,3,1,0.983582
145,0,3,0.983679
145,4,5,0.983679
145,1,0,0.983679
145,2,1,0.983679
145,4,2,0.983679
145,2,0,0.983679
145,2,3,0.983679
146,2,5,0.983776
146,2,0,0.983776
146,1,3,0.983776
146,2,3,0.983776
146,1,4,0.983776
146,4,1,0.983776
147,1,5,0.983873
147,1,1,0.983873
147,3,3,0.983873
147,0,6,0.983873
147,2,4,0.983873
148,4,0,0.98397
148,0,0,0.98397
148,0,1,0.98397
148,0,5,0.98397
149,1,3,0.984067
149,0,2,0.984067
149,2,1,0.984067
150,0,1,0.984164
150,2,3,0.984164
150,2,5,0.984164
151,0,5,0.984261
151,2,0,0.984261
151,2,2,0.984261
151,3,6,0.984261
151,4,0,0.984261
152,0,0,0.984357
152,0,4,0.984357
152,0,1,0.984357
152,1,6,0.984357
152,4,3,0.984357
153,3,0,0.984454
153,2,5,0.984454
153,1,5,0.984454
153,0,2,0.984454
153,3,4,0.984454
153,4,0,0.984454
154,2,5,0.984551
154,3,2,0.984551
155,3,2,0.984648
155,0,6,0.984648
155,2,2,0.984648
155,1,3,0.984648
155,3,1,0.984648
155,1,2,0.984648
156,0,3,0.984745
156,4,0,0.984745
157,1,0,0.984842
157,1,5,0.984842
157,2,5,0.984842
157,2,2,0.984842
157,1,4,0.984842
158,4,0,0.984939
158,3,5,0.984939
158,3,0,0.984939
158,0,0,0.984939
158,0,6,0.984939
158,2,1,0.984939
159,2,0,0.985036
159,0,5,0.985036
159,3,5,0.985036
159,0,3,0.985036
160,2,3,0.985133
160,2,1,0.985133
160,0,4,0.985133
160,4,0,0.985133
161,2,6,0.98523
161,4,1,0.98523
161,3,6,0.98523
161,0,0,0.98523
161,3,4,0.98523
162,1,5,0.985327
162,2,2,0.985327
162,4,0,0.985327
162,2,5,0.985327
163,1,6,0.985424
163,4,0,0.985424
163,1,3,0.985424
163,2,4,0.985424
163,4,1,0.985424
163,0,4,0.985424
164,2,3,0.985521
165,0,3,0.985618
165,1,1,0.985618
165,0,4,0.985618
165,2,1,0.985618
165,1,0,0.985618
165,0,0,0.985618
166,0,5,0.985715
166,4,3,0.985715
166,1,3,0.985715
166,3,3,0.985715
166,2,0,0.985715
166,2,1,0.985715
166,0,6,0.985715
166,2,2,0.985715
167,4,4,0.985812
167,4,1,0.985812
167,4,2,0.985812
167,4,5,0.985812
167,2,6,0.985812
167,1,0,0.985812
168,1,6,0.985909
168,4,2,0.985909
168,4,1,0.985909
168,4,3,0.985909
169,4,1,0.986006
169,4,0,0.986006
169,2,0,0.986006
169,3,6,0.986006
170,2,6,0.986103
170,2,5,0.986103
170,3,2,0.986103
170,3,0,0.986103
170,0,5,0.986103
170,2,4,0.986103
171,4,0,0.9862
171,2,0,0.9862
171,2,5,0.9862
171,0,6,0.9862
172,4,6,0.986297
172,1,1,0.986297
172,4,5,0.986297
172,2,4,0.986297
173,1,2,0.986394
174,4,3,0.986491
174,3,0,0.986491
175,1,1,0.986588
175,1,0,0.986588
175,0,4,0.986588
176,0,3,0.986685
176,3,5,0.986685
176,2,0,0.986685
177,1,5,0.986782
177,3,6,0.986782
177,0,1,0.986782
177,3,3,0.986782
177,4,3,0.986782
177,0,2,0.986782
177,3,4,0.986782
178,4,2,0.986878
178,3,1,0.986878
178,0,2,0.986878
179,3,3,0.986975
179,4,1,0.986975
179,0,0,0.986975
179,1,0,0.986975
180,1,0,0.987072
180,2,5,0.987072
180,1,1,0.987072
180,4,2,0.987072
180,4,1,0.987072
180,1,6,0.987072
180,0,0,0.987072
180,3,5,0.987072
180,4,4,0.987072
181,0,6,0.987169
181,1,3,0.987169
182,2,2,0.987266
182,4,4,0.987266
182,4,0,0.987266
182,0,0,0.987266
182,3,0,0.987266
182,4,6,0.987266
183,1,5,0.987363
183,0,0,0.987363
183,1,4,0.987363
183,3,1,0.987363
184,4,1,0.98746
184,0,6,0.98746
184,1,5,0.98746
184,0,3,0.98746
185,3,4,0.987557
185,4,1,0.987557
185,0,0,0.987557
185,1,1,0.987557
185,2,5,0.987557
185,0,3,0.987557
185,1,5,0.987557
185,0,5,0.987557
185,0,4,0.987557
186,3,4,0.987654
186,2,1,0.987654
187,1,0,0.987751
187,2,6,0.987751
187,3,3,0.987751
187,3,0,0.987751
187,3,2,0.987751
187,4,5,0.987751
187,2,5,0.987751
188,0,4,0.987848
188,4,2,0.987848
188,3,1,0.987848
188,4,5,0.987848
188,3,5,0.987848
188,2,4,0.987848
188,3,4,0.987848
189,3,0,0.987945
189,4,0,0.987945
189,0,4,0.987945
190,4,5,0.988042
190,3,1,0.988042
190,0,4,0.988042
190,1,6,0.988042
190,1,2,0.988042
191,0,6,0.988139
191,2,2,0.988139
191,0,0,0.988139
191,4,3,0.988139
191,4,2,0.988139
192,3,5,0.988236
192,3,1,0.988236
192,1,3,0.988236
192,1,0,0.988236
193,3,1,0.988333
193,2,0,0.988333
193,4,5,0.988333
193,0,2,0.988333
193,3,3,0.988333
193,2,1,0.988333
193,4,3,0.988333
194,0,6,0.98843
194,2,5,0.98843
194,0,3,0.98843
194,3,4,0.98843
194,2,4,0.98843
194,3,3,0.98843
195,1,5,0.988527
195,4,4,0.988527
195,1,0,0.988527
196,2,4,0.988624
196,2,2,0.988624
196,1,5,0.988624
196,1,0,0.988624
196,0,0,0.988624
197,2,6,0.988721
197,0,1,0.988721
198,4,4,0.988818
198,0,4,0.988818
198,3,0,0.988818
198,0,3,0.988818
199,0,4,0.988915
199,0,0,0.988915
199,3,2,0.988915
199,4,0,0.988915
200,4,3,0.989012
200,4,2,0.989012
200,3,4,0.989012
200,4,4,0.989012
200,0,2,0.989012
200,2,4,0.989012
201,0,2,0.989109
201,2,2,0.989109
201,0,6,0.989109
201,1,6,0.989109
201,3,3,0.989109
201,0,3,0.989109
201,3,0,0.989109
202,2,4,0.989206
202,0,2,0.989206
202,4,5,0.989206
202,0,4,0.989206
202,3,1,0.989206
202,0,6,0.989206
202,0,5,0.989206
203,1,6,0.989303
203,3,2,0.989303
203,4,2,0.989303
204,2,2,0.989399
204,3,1,0.989399
204,2,4,0.989399
204,4,6,0.989399
205,3,6,0.989496
205,0,3,0.989496
205,3,0,0.989496
205,1,0,0.989496
206,3,5,0.989593
206,4,6,0.989593
206,3,0,0.989593
206,2,3,0.989593
207,1,0,0.98969
207,3,4,0.98969
207,1,5,0.98969
208,2,4,0.989787
208,4,4,0.989787
209,4,6,0.989884
209,2,0,0.989884
209,0,5,0.989884
210,4,4,0.989981
210,2,1,0.989981
210,2,2,0.989981
210,1,6,0.989981
211,0,5,0.990078
211,1,6,0.990078
211,4,5,0.990078
211,2,4,0.990078
211,4,2,0.990078
211,0,4,0.990078
211,1,3,0.990078
211,1,4,0.990078
211,3,0,0.990078
211,3,5,0.990078
211,4,4,0.990078
212,1,2,0.990175
212,1,6,0.990175
212,3,3,0.990175
212,0,5,0.990175
212,1,4,0.990175
212,0,4,0.990175
212,0,3,0.990175
213,3,2,0.990272
213,2,5,0.990272
213,3,5,0.990272
214,0,4,0.990369
214,4,5,0.990369
214,2,4,0.990369
214,1,2,0.990369
214,2,0,0.990369
214,0,3,0.990369
214,4,0,0.990369
214,2,3,0.990369
214,4,1,0.990369
214,3,4,0.990369
215,3,0,0.990466
215,3,4,0.990466
215,1,2,0.990466
215,4,0,0.990466
215,2,6,0.990466
215,2,4,0.990466
215,3,5,0.990466
216,3,0,0.990563
216,4,2,0.990563
216,2,1,0.990563
217,2,1,0.99066
217,4,1,0.99066
217,4,4,0.99066
218,3,4,0.990757
218,3,5,0.990757
218,4,3,0.990757
218,2,4,0.990757
218,3,6,0.990757
219,2,0,0.990854
219,0,2,0.990854
220,4,4,0.990951
220,3,3,0.990951
220,1,6,0.990951
220,3,5,0.990951
220,2,6,0.990951
220,0,4,0.990951
221,3,5,0.991048
221,0,0,0.991048
221,1,1,0.991048
221,2,3,0.991048
222,3,4,0.991145
222,0,6,0.991145
222,0,0,0.991145
222,1,6,0.991145
223,4,3,0.991242
223,1,5,0.991242
223,4,5,0.991242
223,0,2,0.991242
223,0,0,0.991242
223,3,4,0.991242
223,1,3,0.991242
223,4,4,0.991242
223,0,3,0.991242
224,0,1,0.991339
224,1,6,0.991339
225,2,1,0.991436
225,2,0,0.991436
225,4,3,0.991436
225,2,2,0.991436
225,2,3,0.991436
226,2,6,0.991533
226,3,6,0.991533
226,1,6,0.991533
226,4,5,0.991533
226,1,2,0.991533
226,1,5,0.991533
227,2,0,0.99163
228,2,0,0.991727
228,0,6,0.991727
228,3,2,0.991727
229,4,1,0.991824
229,2,0,0.991824
229,0,5,0.991824
229,4,2,0.991824
230,1,0,0.991921
230,0,5,0.991921
230,2,0,0.991921
231,0,5,0.992017
231,1,5,0.992017
231,3,5,0.992017
231,0,6,0.992017
231,1,4,0.992017
232,3,2,0.992114
232,1,1,0.992114
232,2,0,0.992114
232,4,5,0.992114
232,1,0,0.992114
233,3,3,0.992211
233,2,4,0.992211
233,3,4,0.992211
233,1,6,0.992211
234,4,3,0.992308
234,1,6,0.992308
235,0,5,0.992405
235,1,4,0.992405
235,4,6,0.992405
235,4,1,0.992405
235,1,3,0.992405
236,1,0,0.992502
236,0,6,0.992502
236,4,3,0.992502
236,1,5,0.992502
237,3,4,0.992599
237,0,3,0.992599
237,2,3,0.992599
237,4,2,0.992599
237,2,2,0.992599
237,2,6,0.992599
237,3,3,0.992599
238,2,5,0.992696
238,3,0,0.992696
238,2,4,0.992696
238,3,2,0.992696
238,0,2,0.992696
238,4,2,0.992696
238,4,6,0.992696
239,0,5,0.992793
239,4,5,0.992793
239,4,4,0.992793
239,3,3,0.992793
239,0,4,0.992793
240,2,2,0.99289
240,0,5,0.99289
240,2,5,0.99289
241,0,6,0.992987
241,4,4,0.992987
241,1,4,0.992987
241,1,5,0.992987
241,2,3,0.992987
241,4,0,0.992987
241,3,2,0.992987
242,0,4,0.993084
242,2,4,0.993084
242,1,4,0.993084
242,3,6,0.993084
242,3,0,0.993084
243,2,3,0.993181
243,4,6,0.993181
243,3,2,0.993181
243,2,1,0.993181
243,4,5,0.993181
244,3,0,0.993278
244,0,0,0.993278
244,1,6,0.993278
244,4,6,0.993278
244,2,3,0.993278
245,2,2,0.993375
245,1,0,0.993375
245,3,6,0.993375
246,1,6,0.993472
246,4,0,0.993472
247,3,4,0.993569
247,4,1,0.993569
247,4,5,0.993569
247,3,2,0.993569
248,0,2,0.993666
248,1,5,0.993666
248,1,1,0.993666
248,1,6,0.993666
249,1,3,0.993763
249,0,3,0.993763
249,0,5,0.993763
249,4,3,0.993763
250,0,6,0.99386
250,1,5,0.99386
250,4,0,0.99386
250,2,0,0.99386
251,2,2,0.993957
251,4,1,0.993957
251,2,0,0.993957
251,2,6,0.993957
251,3,5,0.993957
252,0,4,0.994054
252,1,1,0.994054
252,2,0,0.994054
252,1,4,0.994054
253,2,6,0.994151
253,1,0,0.994151
253,0,3,0.994151
254,2,1,0.994248
254,1,2,0.994248
254,3,4,0.994248
254,1,0,0.994248
255,0,0,0.994345
255,0,5,0.994345
255,0,1,0.994345
255,2,6,0.994345
255,4,4,0.994345
256,0,4,0.994442
256,3,1,0.994442
256,4,0,0.994442
256,0,1,0.994442
256,0,0,0.994442
256,2,2,0.994442
256,3,2,0.994442
257,4,2,0.994538
257,1,5,0.994538
257,2,4,0.994538
258,3,2,0.994635
258,2,5,0.994635
258,0,6,0.994635
258,4,0,0.994635
258,4,1,0.994635
259,0,4,0.994732
259,0,1,0.994732
259,2,3,0.994732
259,4,3,0.994732
259,2,6,0.994732
259,0,0,0.994732
259,3,6,0.994732
259,3,5,0.994732
260,4,4,0.994829
260,1,5,0.994829
260,3,2,0.994829
260,2,6,0.994829
260,4,1,0.994829
260,0,1,0.994829
261,1,5,0.994926
261,1,1,0.994926
262,4,0,0.995023
262,3,2,0.995023
262,2,1,0.995023
262,2,4,0.995023
262,3,1,0.995023
263,0,0,0.99512
263,4,2,0.99512
263,1,1,0.99512
263,3,3,0.99512
263,1,3,0.99512
264,0,4,0.995217
264,0,6,0.995217
264,1,4,0.995217
264,0,0,0.995217
265,0,1,0.995314
265,0,0,0.995314
265,0,2,0.995314
265,1,0,0.995314
265,4,0,0.995314
266,2,1,0.995411
266,1,2,0.995411
266,4,1,0.995411
266,2,6,0.995411
266,1,3,0.995411
267,2,2,0.995508
267,0,1,0.995508
267,4,5,0.995508
267,4,6,0.995508
267,3,4,0.995508
268,1,6,0.995605
268,1,4,0.995605
268,3,3,0.995605
268,3,0,0.995605
269,0,6,0.995702
269,4,1,0.995702
269,4,4,0.995702
269,0,0,0.995702
269,1,5,0.995702
269,1,0,0.995702
269,0,1,0.995702
270,4,0,0.995799
270,0,1,0.995799
270,0,5,0.995799
270,1,0,0.995799
270,0,2,0.995799
271,0,1,0.995896
271,3,1,0.995896
271,1,5,0.995896
271,0,3,0.995896
271,0,2,0.995896
271,3,0,0.995896
272,4,1,0.995993
272,3,6,0.995993
272,1,1,0.995993
272,1,3,0.995993
273,3,3,0.99609
273,2,3,0.99609
273,1,0,0.99609
274,4,5,0.996187
274,4,6,0.996187
274,0,6,0.996187
275,3,2,0.996284
275,4,4,0.996284
275,0,4,0.996284
276,1,6,0.996381
276,1,0,0.996381
276,4,1,0.996381
276,2,1,0.996381
276,4,4,0.996381
276,2,4,0.996381
277,4,2,0.996478
277,3,3,0.996478
277,0,5,0.996478
278,0,2,0.996575
278,0,4,0.996575
279,2,0,0.996672
279,0,0,0.996672
279,2,5,0.996672
279,3,4,0.996672
279,4,1,0.996672
279,3,5,0.996672
279,0,3,0.996672
280,2,5,0.996769
280,3,2,0.996769
280,1,3,0.996769
280,4,4,0.996769
281,4,1,0.996866
281,1,3,0.996866
281,3,2,0.996866
281,2,5,0.996866
281,1,6,0.996866
282,3,5,0.996963
282,0,1,0.996963
282,2,4,0.996963
282,4,3,0.996963
283,0,6,0.997059
283,0,1,0.997059
284,0,5,0.997156
284,1,5,0.997156
284,3,6,0.997156
284,0,4,0.997156
284,2,2,0.997156
285,3,4,0.997253
285,2,2,0.997253
285,1,4,0.997253
285,4,1,0.997253
286,4,3,0.99735
286,3,4,0.99735
